ticker,cik,10-K #1 Filing Date,10-K #1 Period,10-K #2 Filing Date,10-K #2 Period,10-Q #1 Filing Date,10-Q #1 Period,10-Q #2 Filing Date,10-Q #2 Period,10-Q #3 Filing Date,10-Q #3 Period,10-Q #4 Filing Date,10-Q #4 Period,10-Q #5 Filing Date,10-Q #5 Period,10-Q #6 Filing Date,10-Q #6 Period
ppl,0000922224,2020-02-14,2019-12-31,2019-02-14,2018-12-31,2020-05-08,2020-03-31,2019-11-05,2019-09-30,2019-08-06,2019-06-30,2019-05-02,2019-03-31,2018-11-01,2018-09-30,2018-08-07,2018-06-30
pfg,0001126328,2020-02-14,2019-12-31,2019-02-13,2018-12-31,2020-04-29,2020-03-31,2019-10-30,2019-09-30,2019-07-31,2019-06-30,2019-05-02,2019-03-31,2018-10-31,2018-09-30,2018-08-01,2018-06-30
pg,0000080424,2019-08-06,2019-06-30,2018-08-07,2018-06-30,2020-04-20,2020-03-31,2020-01-23,2019-12-31,2019-10-22,2019-09-30,2019-04-23,2019-03-31,2019-01-23,2018-12-31,2018-10-19,2018-09-30
pgr,0000080661,2020-03-02,2019-12-31,2019-02-27,2018-12-31,2020-05-05,2020-03-31,2019-11-06,2019-09-30,2019-08-07,2019-06-30,2019-05-01,2019-03-31,2018-10-31,2018-09-30,2018-07-31,2018-06-30
pld,0001045609,2020-02-11,2019-12-31,2019-02-13,2018-12-31,2020-05-01,2020-03-31,2019-10-21,2019-09-30,2019-07-22,2019-06-30,2019-04-23,2019-03-31,2018-10-22,2018-09-30,2018-07-23,2018-06-30
pru,0001137774,2020-02-14,2019-12-31,2019-02-15,2018-12-31,2020-05-08,2020-03-31,2019-11-05,2019-09-30,2019-08-02,2019-06-30,2019-05-03,2019-03-31,2018-11-08,2018-09-30,2018-08-03,2018-06-30
peg,0000788784,2020-02-26,2019-12-31,2019-02-28,2018-12-31,2020-05-05,2020-03-31,2019-10-31,2019-09-30,2019-07-31,2019-06-30,2019-05-02,2019-03-31,2018-10-30,2018-09-30,2018-08-01,2018-06-30
psa,0001393311,2020-02-25,2019-12-31,2019-02-27,2018-12-31,2020-04-30,2020-03-31,,,,,,,,,,
phm,0000822416,2020-01-30,2019-12-31,2019-01-31,2018-12-31,2020-04-23,2020-03-31,2019-10-22,2019-09-30,2019-07-23,2019-06-30,2019-04-23,2019-03-31,2018-10-23,2018-09-30,2018-07-26,2018-06-30
pvh,0000078239,2020-04-01,2020-02-02,2019-03-29,2019-02-03,2020-06-11,2020-05-03,2019-12-09,2019-11-03,2019-09-06,2019-08-04,2019-06-10,2019-05-05,2018-12-10,2018-11-04,2018-09-07,2018-08-05
qrvo,0001604778,2020-05-20,2020-03-28,2019-05-17,2019-03-30,2020-01-30,2019-12-28,2019-11-01,2019-09-28,2019-08-06,2019-06-29,2019-02-07,2018-12-29,2018-11-01,2018-09-29,2018-08-02,2018-06-30
pwr,0001050915,2020-02-28,2019-12-31,2019-02-28,2018-12-31,2020-05-08,2020-03-31,2019-11-01,2019-09-30,2019-08-02,2019-06-30,2019-05-06,2019-03-31,2018-11-07,2018-09-30,2018-08-07,2018-06-30
qcom,0000804328,2019-11-06,2019-09-29,2018-11-07,2018-09-30,2020-04-29,2020-03-29,2020-02-05,2019-12-29,2019-07-31,2019-06-30,2019-05-01,2019-03-31,2019-01-30,2018-12-30,2018-07-25,2018-06-24
dgx,0001022079,2020-02-20,2019-12-31,2019-02-21,2018-12-31,2020-05-04,2020-03-31,2019-10-23,2019-09-30,2019-07-24,2019-06-30,2019-04-24,2019-03-31,2018-10-24,2018-09-30,2018-07-25,2018-06-30
rl,0001037038,2020-05-27,2020-03-28,2019-05-16,2019-03-30,2020-02-06,2019-12-28,2019-11-07,2019-09-28,2019-08-01,2019-06-29,2019-02-07,2018-12-29,2018-11-08,2018-09-29,2018-08-03,2018-06-30
rjf,0000720005,2019-11-26,2019-09-30,2018-11-21,2018-09-30,2020-05-08,2020-03-31,2020-02-07,2019-12-31,2019-08-08,2019-06-30,2019-05-09,2019-03-31,2019-02-08,2018-12-31,2018-08-07,2018-06-30
rtx,0000101829,2020-02-06,2019-12-31,2019-02-07,2018-12-31,2020-05-07,2020-03-31,2019-10-25,2019-09-30,2019-07-26,2019-06-30,2019-04-26,2019-03-31,2018-10-26,2018-09-30,2018-07-27,2018-06-30
o,0000726728,2020-02-24,2019-12-31,2019-02-22,2018-12-31,2020-05-05,2020-03-31,2019-11-05,2019-09-30,2019-08-06,2019-06-30,2019-05-02,2019-03-31,2018-11-01,2018-09-30,2018-08-02,2018-06-30
reg,0000910606,2020-02-18,2019-12-31,2019-02-21,2018-12-31,2020-05-08,2020-03-31,2019-11-04,2019-09-30,2019-08-06,2019-06-30,2019-05-10,2019-03-31,2018-11-05,2018-09-30,2018-08-03,2018-06-30
regn,0000872589,2020-02-07,2019-12-31,2019-02-07,2018-12-31,2020-05-05,2020-03-31,2019-11-05,2019-09-30,2019-08-06,2019-06-30,2019-05-07,2019-03-31,2018-11-06,2018-09-30,2018-08-02,2018-06-30
rf,0001281761,2020-02-21,2019-12-31,2019-02-22,2018-12-31,2020-05-06,2020-03-31,2019-11-06,2019-09-30,2019-08-07,2019-06-30,2019-05-08,2019-03-31,2018-11-07,2018-09-30,2018-08-08,2018-06-30
rsg,0001060391,2020-02-14,2019-12-31,2019-02-08,2018-12-31,2020-05-06,2020-03-31,2019-10-31,2019-09-30,2019-07-26,2019-06-30,2019-04-26,2019-03-31,2018-10-26,2018-09-30,2018-07-27,2018-06-30
rmd,0000943819,2019-08-08,2019-06-30,2018-08-17,2018-06-30,2020-05-01,2020-03-31,2020-01-31,2019-12-31,2019-10-25,2019-09-30,2019-05-03,2019-03-31,2019-02-01,2018-12-31,2018-10-26,2018-09-30
rhi,0000315213,2020-02-14,2019-12-31,2019-02-15,2018-12-31,2020-05-04,2020-03-31,2019-11-12,2019-09-30,2019-08-02,2019-06-30,2019-05-06,2019-03-31,2018-11-01,2018-09-30,2018-08-02,2018-06-30
rok,0001024478,2019-11-12,2019-09-30,,,2020-04-28,2020-03-31,2020-01-29,2019-12-31,2019-07-25,2019-06-30,2019-04-25,2019-03-31,2019-01-31,2018-12-31,2018-07-27,2018-06-30
rol,0000084839,2020-02-28,2019-12-31,2019-03-01,2018-12-31,2020-04-30,2020-03-31,2019-10-25,2019-09-30,2019-07-26,2019-06-30,2019-04-26,2019-03-31,2018-10-26,2018-09-30,2018-07-27,2018-06-30
rop,0000882835,2020-02-28,2019-12-31,2019-02-25,2018-12-31,2020-05-06,2020-03-31,2019-11-01,2019-09-30,2019-08-02,2019-06-30,2019-05-03,2019-03-31,2018-11-05,2018-09-30,2018-08-06,2018-06-30
rost,0000745732,2020-03-31,2020-02-01,2019-04-02,2019-02-02,2020-06-10,2020-05-02,2019-12-11,2019-11-02,2019-09-11,2019-08-03,2019-06-12,2019-05-04,2018-12-12,2018-11-03,2018-09-12,2018-08-04
rcl,0000884887,2020-02-25,2019-12-31,2019-02-22,2018-12-31,2020-05-21,2020-03-31,2019-10-30,2019-09-30,2019-07-26,2019-06-30,2019-05-02,2019-03-31,2018-10-26,2018-09-30,2018-08-02,2018-06-30
spgi,0000064040,2020-02-10,2019-12-31,2019-02-13,2018-12-31,2020-04-28,2020-03-31,2019-10-30,2019-09-30,2019-08-01,2019-06-30,2019-05-03,2019-03-31,2018-10-26,2018-09-30,2018-07-26,2018-06-30
crm,0001108524,2020-03-05,2020-01-31,2019-03-08,2019-01-31,2020-06-01,2020-04-30,2019-12-04,2019-10-31,2019-08-23,2019-07-31,2019-06-05,2019-04-30,2018-11-28,2018-10-31,2018-08-31,2018-07-31
sbac,0001034054,2020-02-24,2019-12-31,2019-02-28,2018-12-31,2020-05-06,2020-03-31,2019-11-07,2019-09-30,2019-08-06,2019-06-30,2019-05-09,2019-03-31,2018-11-08,2018-09-30,2018-08-06,2018-06-30
slb,0000087347,2020-01-22,2019-12-31,2019-01-23,2018-12-31,2020-04-22,2020-03-31,2019-10-23,2019-09-30,2019-07-24,2019-06-30,2019-04-24,2019-03-31,2018-10-24,2018-09-30,2018-07-25,2018-06-30
stx,0001137789,2019-08-02,2019-06-28,2018-08-03,2018-06-29,2020-04-30,2020-04-03,2020-02-05,2020-01-03,2019-11-01,2019-10-04,2019-04-30,2019-03-29,2019-02-04,2018-12-28,2018-11-02,2018-09-28
see,0001012100,2020-03-02,2019-12-31,2019-02-19,2018-12-31,2020-05-05,2020-03-31,2019-11-08,2019-09-30,2019-08-02,2019-06-30,2019-05-01,2019-03-31,2018-11-02,2018-09-30,2018-08-06,2018-06-30
sre,0001032208,2020-02-27,2019-12-31,2019-02-26,2018-12-31,2020-05-04,2020-03-31,2019-11-01,2019-09-30,2019-08-02,2019-06-30,2019-05-07,2019-03-31,2018-11-07,2018-09-30,2018-08-06,2018-06-30
now,0001373715,2020-02-20,2019-12-31,2019-02-27,2018-12-31,2020-04-30,2020-03-31,2019-10-25,2019-09-30,2019-08-06,2019-06-30,2019-05-03,2019-03-31,2018-11-07,2018-09-30,2018-08-08,2018-06-30
shw,0000089800,2020-02-21,2019-12-31,2019-02-22,2018-12-31,2020-04-29,2020-03-31,2019-10-22,2019-09-30,2019-07-24,2019-06-30,2019-04-25,2019-03-31,2018-10-25,2018-09-30,2018-07-25,2018-06-30
spg,0001063761,2020-02-21,2019-12-31,2019-02-22,2018-12-31,2020-05-11,2020-03-31,2019-11-06,2019-09-30,2019-08-07,2019-06-30,2019-05-08,2019-03-31,2018-11-02,2018-09-30,2018-08-02,2018-06-30
swks,0000004127,2019-11-14,2019-09-27,2018-11-15,2018-09-28,2020-05-05,2020-03-27,2020-01-24,2019-12-27,2019-08-07,2019-06-28,2019-05-03,2019-03-29,2019-02-06,2018-12-28,2018-07-20,2018-06-29
slg,0001040971,2020-02-28,2019-12-31,2019-02-27,2018-12-31,2020-05-11,2020-03-31,2019-11-06,2019-09-30,2019-08-08,2019-06-30,2019-05-09,2019-03-31,2018-10-31,2018-09-30,2018-08-08,2018-06-30
sna,0000091440,2020-02-13,2019-12-28,2019-02-14,2018-12-29,2020-04-21,2020-03-28,2019-10-17,2019-09-28,2019-07-18,2019-06-29,2019-04-18,2019-03-30,2018-10-18,2018-09-29,2018-07-19,2018-06-30
so,0000092122,2020-02-20,2019-12-31,2019-02-20,2018-12-31,2020-04-30,2020-03-31,2019-10-30,2019-09-30,2019-07-31,2019-06-30,2019-05-01,2019-03-31,2018-11-07,2018-09-30,2018-08-08,2018-06-30
luv,0000092380,2020-02-04,2019-12-31,2019-02-05,2018-12-31,2020-04-28,2020-03-31,2019-11-08,2019-09-30,2019-07-30,2019-06-30,2019-04-30,2019-03-31,2018-10-30,2018-09-30,2018-08-01,2018-06-30
swk,0000093556,2020-02-21,2019-12-28,2019-02-26,2018-12-29,2020-05-01,2020-03-28,2019-10-25,2019-09-28,2019-07-23,2019-06-29,2019-04-26,2019-03-30,2018-10-26,2018-09-29,2018-07-20,2018-06-30
sbux,0000829224,2019-11-15,2019-09-29,2018-11-16,2018-09-30,2020-04-28,2020-03-29,2020-01-28,2019-12-29,2019-07-30,2019-06-30,2019-04-30,2019-03-31,2019-01-29,2018-12-30,2018-07-31,2018-07-01
stt,0000093751,2020-02-20,2019-12-31,2019-02-21,2018-12-31,2020-04-28,2020-03-31,2019-10-25,2019-09-30,2019-07-26,2019-06-30,2019-05-01,2019-03-31,2018-10-31,2018-09-30,2018-07-25,2018-06-30
ste,0001757898,2020-05-29,2020-03-31,2019-05-30,2019-03-31,2020-02-10,2019-12-31,2019-11-07,2019-09-30,2019-08-07,2019-06-30,,,,,,
syk,0000310764,2020-02-06,2019-12-31,2019-02-07,2018-12-31,2020-05-01,2020-03-31,2019-10-30,2019-09-30,2019-07-26,2019-06-30,2019-04-24,2019-03-31,2018-10-26,2018-09-30,2018-07-25,2018-06-30
sivb,0000719739,2020-02-28,2019-12-31,2019-02-28,2018-12-31,2020-05-11,2020-03-31,2019-11-12,2019-09-30,2019-08-09,2019-06-30,2019-05-09,2019-03-31,2018-11-09,2018-09-30,2018-08-07,2018-06-30
syf,0001601712,2020-02-13,2019-12-31,2019-02-15,2018-12-31,2020-04-22,2020-03-31,2019-10-25,2019-09-30,2019-07-25,2019-06-30,2019-04-25,2019-03-31,2018-10-25,2018-09-30,2018-07-27,2018-06-30
snps,0000883241,2019-12-20,2019-10-31,2018-12-17,2018-10-31,2020-05-22,2020-04-30,2020-02-21,2020-01-31,2019-08-26,2019-07-31,2019-05-24,2019-04-30,2019-02-25,2019-01-31,2018-08-24,2018-07-31
syy,0000096021,2019-08-26,2019-06-29,2018-08-27,2018-06-30,2020-05-06,2020-03-28,2020-02-05,2019-12-28,2019-11-05,2019-09-28,2019-05-07,2019-03-30,2019-02-05,2018-12-29,2018-11-06,2018-09-29
tmus,0001283699,2020-02-06,2019-12-31,2019-02-07,2018-12-31,2020-05-06,2020-03-31,2019-10-28,2019-09-30,2019-07-26,2019-06-30,2019-04-25,2019-03-31,2018-10-30,2018-09-30,2018-08-01,2018-06-30
trow,0001113169,2020-02-13,2019-12-31,2019-02-13,2018-12-31,2020-04-28,2020-03-31,2019-10-24,2019-09-30,2019-07-24,2019-06-30,2019-04-24,2019-03-31,2018-10-25,2018-09-30,2018-07-25,2018-06-30
ttwo,0000946581,2020-05-22,2020-03-31,2019-05-14,2019-03-31,2020-02-07,2019-12-31,2019-11-08,2019-09-30,2019-08-06,2019-06-30,2019-02-06,2018-12-31,2018-11-08,2018-09-30,2018-08-03,2018-06-30
tpr,0001116132,2019-08-15,2019-06-29,2018-08-16,2018-06-30,2020-05-06,2020-03-28,2020-02-06,2019-12-28,2019-11-07,2019-09-28,2019-05-09,2019-03-30,2019-02-07,2018-12-29,2018-11-08,2018-09-29
tgt,0000027419,2020-03-11,2020-02-01,2019-03-13,2019-02-02,2020-05-29,2020-05-02,2019-11-27,2019-11-02,2019-08-30,2019-08-03,2019-05-31,2019-05-04,2018-11-27,2018-11-03,2018-08-27,2018-08-04
tel,0001385157,2019-11-12,2019-09-27,2018-11-13,2018-09-28,2020-05-04,2020-03-27,2020-01-29,2019-12-27,2019-07-26,2019-06-28,2019-04-26,2019-03-29,2019-01-24,2018-12-28,2018-07-26,2018-06-29
fti,0001681459,2020-03-03,2019-12-31,2019-03-11,2018-12-31,2020-05-04,2020-03-31,2019-11-12,2019-09-30,2019-08-08,2019-06-30,2019-05-09,2019-03-31,2018-11-06,2018-09-30,2018-08-06,2018-06-30
tfx,0000096943,2020-02-21,2019-12-31,2019-02-21,2018-12-31,2020-04-30,2020-03-29,2019-10-31,2019-09-29,2019-08-01,2019-06-30,2019-05-02,2019-03-31,2018-11-01,2018-09-30,2018-08-02,2018-07-01
txn,0000097476,2020-02-20,2019-12-31,2019-02-22,2018-12-31,2020-04-22,2020-03-31,2019-10-31,2019-09-30,2019-07-31,2019-06-30,2019-04-30,2019-03-31,2018-11-02,2018-09-30,2018-08-02,2018-06-30
txt,0000217346,2020-02-25,2020-01-04,2019-02-14,2018-12-29,2020-05-01,2020-04-04,2019-10-23,2019-09-28,2019-07-24,2019-06-29,2019-04-24,2019-03-30,2018-10-25,2018-09-29,2018-07-26,2018-06-30
tmo,0000097745,2020-02-26,2019-12-31,2019-02-27,2018-12-31,2020-05-01,2020-03-28,2019-11-01,2019-09-28,2019-08-02,2019-06-29,2019-05-03,2019-03-30,2018-11-02,2018-09-29,2018-08-03,2018-06-30
tif,0000098246,2020-03-20,2020-01-31,2019-03-22,2019-01-31,2020-06-09,2020-04-30,2019-12-05,2019-10-31,2019-08-28,2019-07-31,2019-06-04,2019-04-30,2018-11-28,2018-10-31,2018-08-28,2018-07-31
tjx,0000109198,2020-03-27,2020-02-01,2019-04-03,2019-02-02,2020-05-21,2020-05-02,2019-12-03,2019-11-02,2019-08-30,2019-08-03,2019-05-31,2019-05-04,2018-12-04,2018-11-03,2018-08-31,2018-08-04
tsco,0000916365,2020-02-20,2019-12-28,2019-02-21,2018-12-29,2020-05-07,2020-03-28,2019-11-07,2019-09-28,2019-08-08,2019-06-29,2019-05-09,2019-03-30,2018-11-08,2018-09-29,2018-08-09,2018-06-30
tt,0001466258,2020-02-18,2019-12-31,2019-02-12,2018-12-31,2020-05-05,2020-03-31,2019-10-29,2019-09-30,2019-08-05,2019-06-30,2019-05-01,2019-03-31,2018-10-24,2018-09-30,2018-07-25,2018-06-30
tdg,0001260221,2019-11-19,2019-09-30,2018-11-09,2018-09-30,2020-05-05,2020-03-28,2020-02-04,2019-12-28,2019-08-07,2019-06-29,2019-05-08,2019-03-30,2019-02-06,2018-12-29,2018-08-08,2018-06-30
trv,0000086312,2020-02-13,2019-12-31,2019-02-14,2018-12-31,2020-04-21,2020-03-31,2019-10-22,2019-09-30,2019-07-23,2019-06-30,2019-04-18,2019-03-31,2018-10-18,2018-09-30,2018-07-19,2018-06-30
tfc,0000092230,2020-03-03,2019-12-31,2019-02-26,2018-12-31,2020-05-08,2020-03-31,2019-10-25,2019-09-30,2019-07-31,2019-06-30,2019-04-30,2019-03-31,2018-10-26,2018-09-30,2018-07-27,2018-06-30
twtr,0001418091,2020-02-19,2019-12-31,2019-02-21,2018-12-31,2020-05-05,2020-03-31,2019-10-30,2019-09-30,2019-07-31,2019-06-30,2019-04-30,2019-03-31,2018-10-30,2018-09-30,2018-07-30,2018-06-30
tsn,0000100493,2019-11-12,2019-09-28,2018-11-13,2018-09-29,2020-05-04,2020-03-28,2020-02-06,2019-12-28,2019-08-05,2019-06-29,2019-05-06,2019-03-30,2019-02-07,2018-12-29,2018-08-06,2018-06-30
udr,0000074208,2020-02-18,2019-12-31,2019-02-19,2018-12-31,2020-05-07,2020-03-31,2019-10-30,2019-09-30,2019-07-31,2019-06-30,2019-05-01,2019-03-31,2018-10-30,2018-09-30,2018-07-31,2018-06-30
ulta,0001403568,2020-03-27,2020-02-01,2019-04-02,2019-02-02,2020-05-28,2020-05-02,2019-12-05,2019-11-02,2019-08-29,2019-08-03,2019-05-30,2019-05-04,2018-12-06,2018-11-03,2018-08-30,2018-08-04
usb,0000036104,2020-02-20,2019-12-31,2019-02-22,2018-12-31,2020-05-07,2020-03-31,2019-11-08,2019-09-30,2019-08-01,2019-06-30,2019-05-09,2019-03-31,2018-11-02,2018-09-30,2018-08-02,2018-06-30
uaa,0001336917,2020-02-26,2019-12-31,2019-02-25,2018-12-31,2020-05-11,2020-03-31,2019-11-08,2019-09-30,2019-08-01,2019-06-30,2019-05-09,2019-03-31,2018-11-05,2018-09-30,2018-08-03,2018-06-30
ua,0001336917,2020-02-26,2019-12-31,2019-02-25,2018-12-31,2020-05-11,2020-03-31,2019-11-08,2019-09-30,2019-08-01,2019-06-30,2019-05-09,2019-03-31,2018-11-05,2018-09-30,2018-08-03,2018-06-30
unp,0000100885,2020-02-07,2019-12-31,2019-02-08,2018-12-31,2020-04-23,2020-03-31,2019-10-17,2019-09-30,2019-07-18,2019-06-30,2019-04-18,2019-03-31,2018-10-25,2018-09-30,2018-07-19,2018-06-30
ual,0000100517,2020-02-25,2019-12-31,2019-02-28,2018-12-31,2020-05-04,2020-03-31,2019-10-16,2019-09-30,2019-07-17,2019-06-30,2019-04-17,2019-03-31,2018-10-17,2018-09-30,2018-07-18,2018-06-30
unh,0000731766,2020-02-14,2019-12-31,2019-02-12,2018-12-31,2020-05-06,2020-03-31,2019-11-06,2019-09-30,2019-08-07,2019-06-30,2019-05-07,2019-03-31,2018-11-08,2018-09-30,2018-08-07,2018-06-30
ups,0001090727,2020-02-20,2019-12-31,2019-02-21,2018-12-31,2020-05-08,2020-03-31,2019-10-29,2019-09-30,2019-07-30,2019-06-30,2019-04-30,2019-03-31,2018-10-30,2018-09-30,2018-08-02,2018-06-30
uri,0001067701,2020-01-29,2019-12-31,2019-01-23,2018-12-31,2020-04-29,2020-03-31,2019-10-16,2019-09-30,2019-07-17,2019-06-30,2019-04-17,2019-03-31,2018-10-17,2018-09-30,2018-07-18,2018-06-30
uhs,0000352915,2020-02-26,2019-12-31,2019-02-27,2018-12-31,2020-05-08,2020-03-31,2019-11-08,2019-09-30,2019-08-08,2019-06-30,2019-05-08,2019-03-31,2018-11-08,2018-09-30,2018-08-08,2018-06-30
unm,0000005513,2020-02-18,2019-12-31,2019-02-19,2018-12-31,2020-05-05,2020-03-31,2019-10-30,2019-09-30,2019-07-31,2019-06-30,2019-05-01,2019-03-31,2018-10-25,2018-09-30,2018-07-31,2018-06-30
vfc,0000103379,2020-05-27,2020-03-28,2019-05-24,2019-03-30,2020-02-04,2019-12-28,2019-10-31,2019-09-28,2019-08-08,2019-06-29,2019-02-04,2018-12-29,2018-10-31,2018-09-29,2018-08-09,2018-06-30
vlo,0001035002,2020-02-26,2019-12-31,2019-02-28,2018-12-31,2020-04-29,2020-03-31,2019-11-07,2019-09-30,2019-08-06,2019-06-30,2019-05-07,2019-03-31,2018-11-06,2018-09-30,2018-08-06,2018-06-30
var,0000203527,2019-11-25,2019-09-27,2018-11-26,2018-09-28,2020-05-12,2020-04-03,2020-02-11,2020-01-03,2019-08-07,2019-06-28,2019-05-08,2019-03-29,2019-02-05,2018-12-28,2018-08-07,2018-06-29
vtr,0000740260,2020-02-24,2019-12-31,2019-02-08,2018-12-31,2020-05-08,2020-03-31,2019-10-25,2019-09-30,2019-07-26,2019-06-30,2019-04-29,2019-03-31,2018-10-26,2018-09-30,2018-07-27,2018-06-30
vrsn,0001014473,2020-02-14,2019-12-31,2019-02-15,2018-12-31,2020-04-23,2020-03-31,2019-10-24,2019-09-30,2019-07-25,2019-06-30,2019-04-25,2019-03-31,2018-10-25,2018-09-30,2018-07-26,2018-06-30
vrsk,0001442145,2020-02-18,2019-12-31,2019-02-19,2018-12-31,2020-05-05,2020-03-31,2019-10-30,2019-09-30,2019-07-30,2019-06-30,2019-04-30,2019-03-31,2018-10-30,2018-09-30,2018-07-31,2018-06-30
vz,0000732712,2020-02-21,2019-12-31,2019-02-15,2018-12-31,2020-04-27,2020-03-31,2019-10-30,2019-09-30,2019-08-08,2019-06-30,2019-04-26,2019-03-31,2018-10-30,2018-09-30,2018-07-31,2018-06-30
vrtx,0000875320,2020-02-13,2019-12-31,2019-02-13,2018-12-31,2020-05-01,2020-03-31,2019-10-31,2019-09-30,2019-08-01,2019-06-30,2019-05-01,2019-03-31,2018-10-25,2018-09-30,2018-07-26,2018-06-30
v,0001403161,2019-11-14,2019-09-30,2018-11-16,2018-09-30,2020-05-04,2020-03-31,2020-01-31,2019-12-31,2019-07-26,2019-06-30,2019-04-26,2019-03-31,2019-01-31,2018-12-31,2018-07-27,2018-06-30
vno,0000899689,2020-02-18,2019-12-31,2019-02-11,2018-12-31,2020-05-04,2020-03-31,2019-10-28,2019-09-30,2019-07-29,2019-06-30,2019-04-29,2019-03-31,2018-10-29,2018-09-30,2018-07-30,2018-06-30
vmc,0001396009,2020-02-26,2019-12-31,2019-02-26,2018-12-31,2020-05-06,2020-03-31,2019-11-07,2019-09-30,2019-07-29,2019-06-30,2019-05-03,2019-03-31,2018-10-31,2018-09-30,2018-08-01,2018-06-30
wrb,0000011544,2020-02-20,2019-12-31,2019-02-22,2018-12-31,2020-05-04,2020-03-31,2019-11-07,2019-09-30,2019-08-05,2019-06-30,2019-05-08,2019-03-31,2018-11-08,2018-09-30,2018-08-06,2018-06-30
wab,0000943452,2020-02-24,2019-12-31,2019-02-27,2018-12-31,2020-05-06,2020-03-31,2019-11-01,2019-09-30,2019-08-01,2019-06-30,2019-05-09,2019-03-31,2018-10-30,2018-09-30,2018-07-31,2018-06-30
wmt,0000104169,2020-03-20,2020-01-31,2019-03-28,2019-01-31,2020-06-03,2020-04-30,2019-12-04,2019-10-31,2019-09-06,2019-07-31,2019-06-07,2019-04-30,2018-11-30,2018-10-31,2018-09-06,2018-07-31
wba,0001618921,2019-10-28,2019-08-31,2018-10-11,2018-08-31,2020-04-02,2020-02-29,2020-01-08,2019-11-30,2019-06-27,2019-05-31,2019-04-02,2019-02-28,2018-12-20,2018-11-30,2018-06-28,2018-05-31
dis,0001744489,2019-11-20,2019-09-28,,,2020-05-05,2020-03-28,2020-02-04,2019-12-28,2019-08-06,2019-06-29,2019-05-08,2019-03-30,,,,
wm,0000823768,2020-02-13,2019-12-31,2019-02-14,2018-12-31,2020-05-06,2020-03-31,2019-10-23,2019-09-30,2019-07-25,2019-06-30,2019-04-25,2019-03-31,2018-10-25,2018-09-30,2018-07-25,2018-06-30
wat,0001000697,2020-02-25,2019-12-31,2019-02-26,2018-12-31,2020-04-29,2020-03-28,2019-10-30,2019-09-28,2019-07-31,2019-06-29,2019-05-03,2019-03-30,2018-11-02,2018-09-29,2018-08-03,2018-06-30
wec,0000783325,2020-02-27,2019-12-31,2019-02-26,2018-12-31,2020-05-07,2020-03-31,2019-11-07,2019-09-30,2019-08-06,2019-06-30,2019-05-03,2019-03-31,2018-11-02,2018-09-30,2018-08-03,2018-06-30
wfc,0000072971,2020-02-27,2019-12-31,2019-02-27,2018-12-31,2020-05-05,2020-03-31,2019-11-01,2019-09-30,2019-08-02,2019-06-30,2019-05-03,2019-03-31,2018-11-06,2018-09-30,2018-08-03,2018-06-30
well,0000766704,2020-02-14,2019-12-31,2019-02-25,2018-12-31,2020-05-07,2020-03-31,2019-10-30,2019-09-30,2019-08-01,2019-06-30,2019-04-30,2019-03-31,2018-10-30,2018-09-30,2018-08-02,2018-06-30
wst,0000105770,2020-02-24,2019-12-31,2019-02-28,2018-12-31,2020-04-24,2020-03-31,2019-10-29,2019-09-30,2019-07-29,2019-06-30,2019-05-08,2019-03-31,2018-10-30,2018-09-30,2018-07-31,2018-06-30
wdc,0000106040,2019-08-27,2019-06-28,2018-08-24,2018-06-29,2020-05-08,2020-04-03,2020-02-11,2020-01-03,2019-11-12,2019-10-04,2019-05-07,2019-03-29,2019-02-05,2018-12-28,2018-11-06,2018-09-28
wu,0001365135,2020-02-20,2019-12-31,2019-02-21,2018-12-31,2020-05-05,2020-03-31,2019-10-31,2019-09-30,2019-08-01,2019-06-30,2019-05-07,2019-03-31,2018-11-01,2018-09-30,2018-08-02,2018-06-30
wrk,0001732845,2019-11-18,2019-09-30,2018-11-16,2018-09-30,2020-05-06,2020-03-31,2020-01-31,2019-12-31,2019-08-02,2019-06-30,2019-05-03,2019-03-31,2019-02-08,2018-12-31,,
wy,0000106535,2020-02-14,2019-12-31,2019-02-15,2018-12-31,2020-05-01,2020-03-31,2019-10-25,2019-09-30,2019-07-26,2019-06-30,2019-04-26,2019-03-31,2018-10-26,2018-09-30,2018-07-27,2018-06-30
whr,0000106640,2020-02-11,2019-12-31,2019-02-12,2018-12-31,2020-05-01,2020-03-31,2019-10-23,2019-09-30,2019-07-23,2019-06-30,2019-04-23,2019-03-31,2018-10-25,2018-09-30,2018-07-24,2018-06-30
wmb,0000107263,2020-02-24,2019-12-31,2019-02-21,2018-12-31,2020-05-04,2020-03-31,2019-10-31,2019-09-30,2019-08-01,2019-06-30,2019-05-02,2019-03-31,2018-11-01,2018-09-30,2018-08-02,2018-06-30
wltw,0001140536,2020-02-26,2019-12-31,2019-02-27,2018-12-31,2020-04-30,2020-03-31,2019-11-01,2019-09-30,2019-08-01,2019-06-30,2019-05-03,2019-03-31,2018-11-02,2018-09-30,2018-08-06,2018-06-30
wynn,0001174922,2020-02-28,2019-12-31,2019-02-28,2018-12-31,2020-05-08,2020-03-31,2019-11-06,2019-09-30,2019-08-08,2019-06-30,2019-05-09,2019-03-31,2018-11-07,2018-09-30,2018-08-08,2018-06-30
xel,0000072903,2020-02-21,2019-12-31,2019-02-22,2018-12-31,2020-05-07,2020-03-31,2019-10-25,2019-09-30,2019-08-01,2019-06-30,2019-04-26,2019-03-31,2018-10-26,2018-09-30,2018-07-27,2018-06-30
